who,last_active,TPq10,TPmed,TPq90
BRENT_BURNS,20132014,399,913.5,1586
NATE_SCHMIDT,20132014,128,913.5,1967.1
DOUGIE_HAMILTON,20132014,194,914,1882.1
DANIEL_LACOSTA,20082009,104,914,1989
MASON_RAYMOND,20132014,336,915,1667.1
JOHN_GIBSON,20132014,98.9000000000001,915,1991
FILIP_KUBA,20122013,417.9,916,1566
CURTIS_JOSEPH,20082009,378,916,1647
P.J._AXELSSON,20072008,298,916,1746
CRAIG_MACDONALD,20082009,197,916,1878
TOMAS_KURKA,20032004,118,916.5,2023.1
CORY_STILLMAN,20102011,385,917,1613
LASSE_PIRJETA,20052006,201,917,1857
MICHAL_GROSEK,20032004,147,917,1941.1
JEFF_DROUIN-DESLAURIERS,20092010,160,918,1936
GLEN_WESLEY,20072008,311,923,1730.1
NIKITA_KUCHEROV,20132014,140,923,1966
RYAN_O'REILLY,20132014,330,924,1725.1
MATHIEU_DARCHE,20112012,248,924,1834
PETER_MUELLER,20122013,298,925,1730
PETRI_KONTIOLA,20072008,119,925,2012
JOHNNY_ODUYA,20132014,390,926,1611
MIKE_LECLERC,20052006,199,928,1877.1
BRETT_CARSON,20122013,210,928.5,1870
DARREN_HAYDAR,20072008,126,929,1992.1
JASON_WOOLLEY,20052006,261,931,1820
BRETT_SKINNER,20082009,108,935,2018.1
ARTURS_KULDA,20112012,127,935.5,1994.1
PAUL_MARTIN,20132014,413,937,1632.1
SCOTT_STEVENS,20032004,187,937,1928
ADAM_CRACKNELL,20132014,144,938,1948
ANTOINE_VERMETTE,20132014,432,939,1600
RANDY_JONES,20112012,362,939,1707.1
MARK_BARBERIO,20132014,168,939,1973
SEAN_COUTURIER,20132014,262,939.5,1822
CRAIG_CONROY,20102011,359,940,1676
SERGEI_ZHOLTOK,20032004,225,943,1885
DAVID_OLIVER,20052006,139,944,2017
MATT_NISKANEN,20132014,381,945,1656.1
REILLY_SMITH,20132014,188,945,1908.1
SHAYNE_CORSON,20032004,176,946,1941
MATT_FRASER,20132014,128.8,946,2004
