player,season,beta,ppm,pm,salary
LUBOMIR_VISNOVSKY,20062007,0.31,13.5,25,1.9
MAREK_MALIK,20052006,0.22,13.49,3,2.5
ED_BELFOUR,20032004,0.08,13.46,36,7
JASON_ARNOTT,20092010,0.2,13.46,26,4.5
ALEX_TANGUAY,20092010,0.24,13.45,9,2.5
ALEX_TANGUAY,20112012,0.24,13.45,21,3.5
ALEX_GOLIGOSKI,20112012,0.19,13.42,9,2.75
MATT_MOULSON,20132014,0.32,13.4,22,3.9
DAYMOND_LANGKOW,20032004,0.17,13.39,7,2.7
ZIGMUND_PALFFY,20022003,0.38,13.38,19,7.25
ZDENO_CHARA,20082009,0.11,13.38,44,7.5
MIKKO_KOIVU,20072008,0.25,13.36,18,2.7
MIKKO_KOIVU,20132014,0.25,13.36,12,7.29
JOE_PAVELSKI,20072008,0.24,13.34,25,0.81
ZACH_PARISE,20122013,0.26,13.33,8,12
KIMMO_TIMONEN,20062007,0.15,13.27,42,2.28
DUSTIN_PENNER,20092010,0.17,13.27,21,4.25
VINCENT_LECAVALIER,20082009,0.15,13.26,11,7.166666
EVGENI_MALKIN,20112012,0.12,13.21,72,9
RYAN_SMYTH,20052006,0.12,13.2,45,3.5
RUSLAN_FEDOTENKO,20082009,0.22,13.19,34,2.25
TEDDY_PURCELL,20102011,0.18,13.19,53,0
JAROSLAV_SPACEK,20052006,0.13,13.17,25,2.25
MILAN_HEJDUK,20102011,0.19,13.17,8,3
NICKLAS_BACKSTROM,20092010,0.11,13.16,92,0.85
BRYAN_MCCABE,20052006,0.11,13.15,31,3.458
KIMMO_TIMONEN,20052006,0.15,13.12,38,2.47
DAVID_PERRON,20132014,0.24,13.12,2,3.5
NICKLAS_BACKSTROM,20082009,0.11,13.1,87,0.85
BRYAN_MCCABE,20062007,0.11,13.09,10,7.15
SHANE_DOAN,20082009,0.16,13.09,25,4.55
HENRIK_SEDIN,20022003,0.27,13.05,32,1.025
BRENDAN_MORRISON,20032004,0.17,13.02,32,2.45
ALEXEI_PONIKAROVSKY,20062007,0.22,12.98,14,0.725
ED_BELFOUR,20022003,0.08,12.97,26,6.5
COREY_PERRY,20092010,0.13,12.96,46,6.5
BRYAN_LITTLE,20082009,0.16,12.95,39,0.85
ZDENO_CHARA,20062007,0.11,12.93,-16,7.5
RICK_NASH,20062007,0.2,12.93,16,4.5
ALEX_BURROWS,20112012,0.19,12.89,27,2
CLAUDE_GIROUX,20112012,0.12,12.87,37,2.75
JOE_PAVELSKI,20122013,0.24,12.86,25,4
BRIAN_CAMPBELL,20072008,0.1,12.8,43,1.75
DAYMOND_LANGKOW,20052006,0.17,12.78,44,2.442
ROBERT_LANG,20082009,0.26,12.78,23,4
LADISLAV_NAGY,20032004,0.33,12.77,31,1
PATRICK_SHARP,20112012,0.16,12.74,42,4.2
ILYA_KOVALCHUK,20092010,0.14,12.73,58,7.5
VINCENT_LECAVALIER,20102011,0.15,12.72,42,10
PATRIC_HORNQVIST,20092010,0.23,12.7,40,0.62
KIMMO_TIMONEN,20032004,0.15,12.68,18,2
NATHAN_HORTON,20092010,0.16,12.68,16,3.5
DUSTIN_PENNER,20102011,0.17,12.67,-6,4.25
ILYA_KOVALCHUK,20032004,0.14,12.66,41,1.13
VINCENT_LECAVALIER,20092010,0.15,12.65,23,10
MIKKO_KOIVU,20112012,0.25,12.62,20,7.29
MARC_SAVARD,20072008,0.15,12.61,37,5
NATHAN_HORTON,20102011,0.16,12.6,57,4
MARTIN_HAVLAT,20062007,0.25,12.59,32,6
MARCO_STURM,20072008,0.18,12.59,28,3.5
PIERRE-MARC_BOUCHARD,20072008,0.19,12.58,45,2.6
TOBIAS_ENSTROM,20112012,0.17,12.57,18,4
FILIP_KUBA,20112012,0.13,12.54,23,3.7
THOMAS_VANEK,20102011,0.14,12.51,39,6.4
JIRI_HUDLER,20112012,0.17,12.49,28,3
MIKKO_KOIVU,20122013,0.25,12.49,5,5.4
SHANE_DOAN,20112012,0.16,12.46,13,4.55
COREY_PERRY,20082009,0.13,12.45,58,4.5
TEEMU_SELANNE,20032004,0.29,12.43,18,5.8
MARIAN_GABORIK,20032004,0.31,12.41,15,0
MARCO_STURM,20062007,0.18,12.41,-2,2.1
JAROME_IGINLA,20062007,0.14,12.41,55,7
JIRI_HUDLER,20082009,0.17,12.41,61,1.15
CRAIG_ANDERSON,20092010,0.06,12.4,4,1.5
JAROSLAV_SPACEK,20082009,0.13,12.39,23,3.3
JOE_PAVELSKI,20132014,0.24,12.38,33,4
HENRIK_SEDIN,20032004,0.27,12.37,43,1.1275
ZDENO_CHARA,20072008,0.11,12.37,34,7.5
CHRIS_KUNITZ,20112012,0.13,12.36,60,4
STEVEN_STAMKOS,20122013,0.19,12.36,15,8
JORDAN_EBERLE,20132014,0.2,12.36,19,6
JAKUB_VORACEK,20132014,0.21,12.35,34,4.5
ALEXANDER_RADULOV,20072008,0.16,12.34,29,0.68894
JAROME_IGINLA,20102011,0.14,12.34,38,7
BRENDAN_MORRISON,20062007,0.17,12.33,6,3.2
MIKE_RICHARDS,20072008,0.11,12.33,36,0.9424
DUSTIN_PENNER,20072008,0.17,12.33,28,4.25
