player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
BRANDON_DUBINSKY,20102011,0.18,0.54,192.65,78,0.52,0.18,0.54,12.66,-29,0.4
MARKUS_NASLUND,20032004,0.3,0.58,192.51,339,0.63,0.3,0.58,16.96,41,0.68
JAKUB_VORACEK,20102011,0.19,0.55,192.44,390,0.6,0,0.5,0,0,0
RYAN_KESLER,20092010,0.16,0.54,192.35,211,0.54,0.16,0.54,27.89,-23,0.47
JOCHEN_HECHT,20092010,0.19,0.55,192.18,-43,0.49,0,0.5,0,0,0
ALEX_GOLIGOSKI,20112012,0.18,0.54,191.79,258,0.56,0,0.5,0,0,0
JERE_LEHTINEN,20072008,0.35,0.59,191.45,226,0.6,0.35,0.59,55.17,43,0.57
JAMIE_LANGENBRUNNER,20082009,0.18,0.54,191.31,480,0.61,0.18,0.54,9.48,28,0.63
ALEX_BURROWS,20092010,0.18,0.55,190.79,53,0.51,0.18,0.55,26.97,-9,0.48
DEREK_ROY,20092010,0.17,0.54,190.71,170,0.54,0.17,0.54,16.65,-12,0.47
MIKKO_KOIVU,20102011,0.21,0.55,190.45,27,0.51,0,0.5,0,0,0
JONATHAN_TOEWS,20102011,0.16,0.54,189.95,357,0.58,0.16,0.54,18,13,0.53
ALEX_STEEN,20082009,0.22,0.55,189.85,5,0.5,0.22,0.55,10.95,16,0.58
RICK_NASH,20072008,0.18,0.54,189.55,245,0.56,0,0.5,0,0,0
ANZE_KOPITAR,20082009,0.16,0.54,189.48,437,0.59,0,0.5,0,0,0
PAUL_STASTNY,20112012,0.17,0.54,189.21,220,0.55,0,0.5,0,0,0
RYAN_KESLER,20112012,0.17,0.54,189.15,363,0.58,0.17,0.54,12.4,34,0.61
PETER_BONDRA,20032004,0.3,0.57,189.14,225,0.59,0.3,0.57,15.65,40,0.69
JOE_PAVELSKI,20092010,0.18,0.55,188.78,181,0.54,0.18,0.55,45.85,108,0.61
ERIK_COLE,20082009,0.19,0.55,188.31,100,0.53,0.19,0.55,40.01,19,0.52
BRIAN_GIONTA,20102011,0.15,0.54,187.85,305,0.56,0.15,0.54,18.35,13,0.53
FRANS_NIELSEN,20112012,0.2,0.55,187.72,34,0.51,0,0.5,0,0,0
DANIEL_SEDIN,20032004,0.39,0.6,187.48,297,0.65,0.39,0.6,17.45,38,0.71
MICHAEL_FROLIK,20102011,0.22,0.55,187.44,230,0.57,0.22,0.55,18.09,-25,0.43
JASON_BLAKE,20072008,0.18,0.54,187.41,398,0.59,0,0.5,0,0,0
SHANE_DOAN,20102011,0.18,0.55,187.29,325,0.58,0.18,0.55,14.29,9,0.53
ROSTISLAV_OLESZ,20072008,0.28,0.57,186.98,69,0.53,0,0.5,0,0,0
DUSTIN_BROWN,20082009,0.16,0.54,186.87,360,0.58,0,0.5,0,0,0
DEREK_ROY,20112012,0.17,0.54,186.67,107,0.52,0,0.5,0,0,0
ANZE_KOPITAR,20102011,0.16,0.54,185.92,269,0.56,0,0.5,0,0,0
DANIEL_ALFREDSSON,20092010,0.2,0.55,185.84,121,0.53,0.2,0.55,18.69,-14,0.46
HENRIK_ZETTERBERG,20052006,0.18,0.55,185.78,551,0.63,0.18,0.55,16.9,56,0.65
MARTIN_ERAT,20112012,0.21,0.55,185.76,-1,0.5,0.21,0.55,28.8,33,0.56
MARIAN_HOSSA,20072008,0.19,0.55,185.52,-9,0.5,0.21,0.55,68.55,102,0.58
