player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
MARKUS_NASLUND,20022003,0.26,0.56,156.27,291,0.62,0.26,0.56,27,50,0.62
ALEX_STEEN,20062007,0.26,0.5,155.82,110,0.55,0,0.5,0,0,0
RYAN_KESLER,20072008,0.22,0.5,155.65,-84,0.47,0,0.5,0,0,0
TAYLOR_HALL,20122013,0.35,0.5,155.41,131,0.57,0,0.5,0,0,0
MIKE_RIBEIRO,20062007,0.3,0.58,155.2,360,0.68,0.3,0.58,13.31,32,0.68
JERE_LEHTINEN,20072008,0.4,0.6,155.18,170,0.61,0.4,0.6,44.53,45,0.6
MIKE_RICHARDS,20082009,0.18,0.54,155.11,-2,0.5,0.18,0.54,13.72,3,0.51
TOMAS_HOLMSTROM,20052006,0.28,0.57,154.78,481,0.71,0.28,0.57,12.56,49,0.77
DAVID_BOOTH,20072008,0.24,0.5,154.69,70,0.53,0,0.5,0,0,0
MARTIN_ERAT,20092010,0.22,0.55,154.66,162,0.56,0.22,0.55,13.41,12,0.55
MIROSLAV_SATAN,20062007,0.22,0.55,154.52,155,0.55,0.22,0.55,7.49,-5,0.46
PAUL_STASTNY,20112012,0.19,0.5,154.26,216,0.57,0,0.5,0,0,0
BRANDON_DUBINSKY,20092010,0.23,0.5,154.21,54,0.52,0,0.5,0,0,0
JASON_BLAKE,20072008,0.2,0.5,154.06,285,0.59,0,0.5,0,0,0
BRANDON_DUBINSKY,20102011,0.19,0.55,153.52,46,0.51,0.19,0.55,9.59,-11,0.44
MIKE_KNUBLE,20082009,0.21,0.55,153.1,51,0.52,0.21,0.55,12.24,19,0.58
DAVID_MOSS,20082009,0.27,0.57,152.98,198,0.59,0.27,0.57,10.91,-4,0.48
JUSTIN_WILLIAMS,20132014,0.26,0.53,152.6,266,0.61,0.14,0.53,21.45,25,0.54
JOE_PAVELSKI,20082009,0.2,0.55,152.33,238,0.58,0.2,0.55,12.5,37,0.65
SHANE_DOAN,20072008,0.17,0.5,152.29,158,0.54,0,0.5,0,0,0
DUSTIN_BROWN,20072008,0.19,0.5,152.27,56,0.52,0,0.5,0,0,0
MARTIN_GELINAS,20052006,0.23,0.5,151.8,110,0.54,0,0.5,0,0,0
PETER_REGIN,20092010,0.35,0.59,151.69,213,0.62,0.35,0.59,14.12,0,0.5
ALEXEI_PONIKAROVSKY,20072008,0.28,0.5,151.63,205,0.59,0,0.5,0,0,0
DUSTIN_BROWN,20082009,0.19,0.5,151.61,249,0.58,0,0.5,0,0,0
FRANS_NIELSEN,20102011,0.24,0.5,151.32,0,0.5,0,0.5,0,0,0
DAN_BOYLE,20082009,0.16,0.54,151.16,471,0.62,0.17,0.54,12.27,78,0.77
VIKTOR_KOZLOV,20072008,0.21,0.55,151.09,328,0.61,0.21,0.55,13.92,-5,0.48
JAN_HLAVAC,20072008,0.26,0.57,150.77,172,0.58,0.26,0.57,15.92,-41,0.33
TYLER_KENNEDY,20102011,0.26,0.56,150.72,225,0.6,0.26,0.56,17.32,53,0.7
COREY_PERRY,20082009,0.19,0.57,150.56,408,0.63,0.28,0.57,43.14,34,0.56
MIKE_RIBEIRO,20102011,0.19,0.5,150.49,168,0.55,0,0.5,0,0,0
SCOTT_GOMEZ,20082009,0.17,0.54,150.2,322,0.59,0.17,0.54,11.13,13,0.55
MIKKO_KOIVU,20072008,0.27,0.57,150.19,28,0.51,0.27,0.57,18.16,28,0.6
JAROMIR_JAGR,20032004,0.2,0.5,149.61,231,0.58,0,0.5,0,0,0
MARIAN_HOSSA,20072008,0.2,0.58,149.4,-3,0.5,0.34,0.58,81.55,98,0.6
LADISLAV_NAGY,20032004,0.36,0.5,149.06,215,0.63,0,0.5,0,0,0
SHANE_DOAN,20082009,0.17,0.5,148.31,64,0.52,0,0.5,0,0,0
ALEX_BURROWS,20112012,0.19,0.55,148.05,138,0.54,0.19,0.55,11.18,23,0.6
NATHAN_HORTON,20092010,0.21,0.5,148.02,31,0.51,0,0.5,0,0,0
ERIC_STAAL,20102011,0.15,0.5,147.78,117,0.53,0,0.5,0,0,0
JAKUB_VORACEK,20112012,0.23,0.56,147.64,294,0.61,0.23,0.56,18.96,22,0.57
ALEXEI_PONIKAROVSKY,20052006,0.28,0.5,147.62,2,0.5,0,0.5,0,0,0
JAMIE_LANGENBRUNNER,20092010,0.18,0.55,147.55,226,0.57,0.18,0.55,7.63,-1,0.49
RYAN_SMYTH,20082009,0.19,0.5,147.52,266,0.58,0,0.5,0,0,0
PAVOL_DEMITRA,20082009,0.26,0.56,147.49,172,0.58,0.26,0.56,13.43,8,0.54
ZACH_PARISE,20132014,0.31,0.58,146.68,216,0.61,0.31,0.58,32.88,19,0.54
GABRIEL_LANDESKOG,20132014,0.22,0.56,146.29,113,0.54,0.22,0.56,12.38,4,0.52
NATHAN_HORTON,20102011,0.21,0.55,146.27,216,0.58,0.21,0.55,40.07,43,0.56
ALEX_KOVALEV,20072008,0.19,0.55,146.23,188,0.56,0.19,0.55,23.17,60,0.62
TYLER_KENNEDY,20082009,0.33,0.59,146.22,82,0.55,0.37,0.59,57.77,48,0.57
ANDY_HILBERT,20082009,0.26,0.5,146.2,-96,0.46,0,0.5,0,0,0
JOE_PAVELSKI,20092010,0.2,0.55,146.13,117,0.54,0.2,0.55,36.61,92,0.62
P.A._PARENTEAU,20112012,0.2,0.5,146.04,254,0.58,0,0.5,0,0,0
JASON_BLAKE,20062007,0.2,0.55,145.98,233,0.58,0.2,0.55,7.58,-7,0.45
SCOTTIE_UPSHALL,20082009,0.28,0.5,145.64,104,0.55,0,0.5,0,0,0
ERIK_KARLSSON,20112012,0.13,0.53,145.6,322,0.57,0.13,0.53,12.39,21,0.55
ALEXANDER_SEMIN,20062007,0.22,0.5,145.53,304,0.62,0,0.5,0,0,0
