NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Ruslan Fedotenko|0.715|0.95|1.3|1.65|2.9|2.25|1.8|1|1.4|13.965
Patrice Brisebois|4|4|1.5|3|0.7|0.75|0|0|0|13.95
Craig Conroy|2|2.2|2.394|2.394|2.85|1.1|1|0|0|13.938
Dustin Byfuglien|0|0|0|0|0.675|3|3|3|4.25|13.925
Kris Draper|1.275|1.475|2.128|2.128|2.128|1.85|1.65|1.25|0|13.884
Chris Osgood|4|3|0.9|0.9|0.8|1.7|1.45|1.1|0|13.85
Scott Stevens|6.891103|6.916747|0|0|0|0|0|0|0|13.80785
Mark Eaton|0.5|0.4|0.7|1.6|1.6|2|2|2|3|13.8
Fedor Tyutin|0|0|0.45|0.95|1.025|2.25|2.7|3|3.425|13.8
Darcy Tucker|1.5|1.6|1.596|1.596|3|2.2|2.3|0|0|13.792
Stephane Robidas|0.65|0.727502|0.55|0.55|1.5|1.5|1.5|3.25|3.55|13.777502
Jonathan Cheechoo|0.8|0.665|0.76|2.5|2.5|3|3.5|0|0|13.725
Ryane Clowe|0|0|0.5|0.525|0.6|1.6|3.5|3.5|3.5|13.725
Travis Zajac|0|0|0|0.9842|0.9842|0.9842|2.75|3.5|4.5|13.7026
Matthew Lombardi|0|0|0.45|0.8|1.55|1.55|2.35|3.5|3.5|13.7
Mike Van Ryn|1.025|0|1.06|1.7|3.2|3.35|3.35|0|0|13.685
David Booth|0|0|0|0.5|0.625|0.675|3.5|3.75|4.5|13.55
Mario Lemieux|5.25|5.25|3|0|0|0|0|0|0|13.5
Al Macinnis|7.5|6|0|0|0|0|0|0|0|13.5
Brett Clark|0|0|0.45|1.5|1.5|3.5|3.5|1.7|1.3|13.45
Willie Mitchell|0.6|1.35|1|3.5|0|0|0|3.5|3.5|13.45
Zbynek Michalek|0|0|0.45|0.9|1.2|1.4|1.5|4|4|13.45
Karlis Skrastins|0.775|1.2|1.425|2.4|2.4|2.4|1.1|1.65|0|13.35
Nick Boynton|0.715|0|1.75|2.95|2.95|2.95|1.5|0.5|0|13.315
Jeff Halpern|1.05|1.475|1.2331|2|2|2|2|0.6|0.825|13.1831
Martin Gerber|0.5|0.5|1.064|3.7|3.7|3.7|0|0|0|13.164
Ethan Moreau|1.45|1.5|1.102|1.026|2.75|1.75|1.75|1.75|0|13.078
Valtteri Filppula|0|0|0|0.71|0.85|2|2.5|3.5|3.5|13.06
